索引,新闻标题,内容
1,俄国防部：乌克兰无人机袭击能源设施致俄大量用户断电,　　新华社莫斯科3月29日电（记者江宥林）俄罗斯国防部29日说，过去一日，乌克兰无人机多次袭击俄罗斯别尔哥罗德州能源基础设施，导致当地9000多用户断电。　　据俄国防部当天在社交媒体发布的消息，28日，乌克兰多次出动无人机，袭击了别尔哥罗德州电力设施，导致一些高压线被切断、变压器受损，造成当地9000多用户断电。　　俄国防部先前通报，乌克兰近日多次使用无人机等武器袭击俄能源基础设施。28日上午，乌军使用高机动性火箭炮系统袭击位于库尔斯克州的苏贾天然气计量站并引发火灾，导致电力设施几乎完全被毁。同一天，俄防空系统在萨拉托夫州上空拦截19架乌克兰无人机，其目标是萨拉托夫炼油厂等设施。此外，别尔哥罗德州一座电力设施27日遭遇有针对性的炮击，导致部分区域供电中断。　　俄罗斯和美国代表团24日在沙特阿拉伯首都利雅得举行会谈。俄罗斯克里姆林宫25日发布一份俄美商定的暂停打击的俄乌能源设施清单，其中包括发电厂、变电站、变压器和配电器在内的发电和输电基础设施。 【纠错】    【责任编辑:张欣然】 
2,我在现场·照片背后的故事丨十三年后，我再次来到埃拉特,"??从耶路撒冷南行两百余公里，穿越高温炙烤的约旦河谷，我抵达了以色列最南端的红海城市——埃拉特。

??十三年前，我在访学期间也曾走过这段路。那时还是大学生的我在以色列北部海法附近的一个贝都因人社区住下。有一天我和同伴坐上了南下的通宵长途大巴。经历一整夜的颠簸后，我们终于从地中海畔来到了红海畔。我们在海边晒日光浴、浮潜……

??这是3月17日在以色列埃拉特拍摄的亚喀巴湾。

??十三年后，我以记者身份再次进入这座城市。快到埃拉特时，公路两侧的荒漠上分布着连绵不断的灰色水泥墙。“铁穹”防空系统架设在制高点上，面向南方，静默伫立。新一轮巴以冲突爆发后，埃拉特成为胡塞武装的打击目标，多次受到导弹与无人机袭击。以色列军方在南部边境地带部署更多防御系统，试图在飞行物入侵前予以拦截。

??3月17日，安保人员在以色列埃拉特港区巡逻。

??“我大概听过四五十次警报了。”本地居民罗特姆说。他居住在临海的高层住宅，阳台正对亚喀巴湾。“过去看海，现在看‘铁穹’。”罗特姆出生于埃拉特，对城市环境颇为熟悉。他带我前往一处地势较高的观察点。

??脚下，蓝宝石般的亚喀巴湾镶嵌在高耸的峡谷间，静静地躺在四国的怀抱中。约旦和以色列近在咫尺，隔着海湾可以看到对方城市里的巨大国旗。再往南，沙特阿拉伯和埃及也隔着海湾彼此相望。地理上，亚喀巴湾扼守红海交通要道，以色列的红海港口城市埃拉特，也因湾而生，因港而兴。

??“战争前，这里挤满了等待入关的进口整车。”罗特姆指着如今空荡荡的埃拉特港整车入关区，语气低沉。红海危机持续发酵，担心遭袭的滚装船纷纷避开这座港口，曾经依赖进口整车业务的埃拉特港，如今几乎陷入停滞。

??港口首席执行官戈尔伯对以色列媒体坦言，战争前，每月有12到13艘滚装船进出。“如今，一艘也没有。所有活动都停摆了，船只无法从任何方向抵达埃拉特港，也无法通过苏伊士运河前往欧洲。港口停运，收入归零。”戈尔伯说。

??这是3月17日在以色列埃拉特拍摄的埃拉特港区。

??我跟随罗特姆步入港区，码头作业区没有人员活动。大片清关场地荒废，偶尔可见少量进口车停放，覆盖白色防护膜。安保人员介入阻止拍摄，称部分区域涉及军事用途。“那边不能拍照。”一名安保人员强调。

??码头深处，两艘灰色涂装的战舰停靠。“那是美国军舰。”罗特姆说。

??靠近海滩的地方，几艘帆船正在水面缓慢移动。过去，这一带曾是游客密集的滨海旅游区。战争，深刻改变了这座旅游城市。“游客似乎在一夜之间消失，涌来了无法归家的受战争影响的以色列边民，”罗特姆对我说。

??新一轮巴以冲突爆发后，约有几十万来自以色列南北边境的撤离民众来到这里。他们无法逃离战争，他们从被毁的家园来到了另一处整日伴随防空警报的城市。

??来到这座城市的还有精打细算的“聪明”人。红海危机延宕，航运成本飙升，加之战争开支推高税负，以色列的物价与生活成本同步攀升。埃拉特是免税区，免掉18%的消费税足以让人心动，不少以色列人干脆驱车数百公里，从中部赶来为家里添置“大件”。

??我们来到海边，沙滩围栏上贴满了被扣押以色列人的海报，风吹得纸张翻卷。以色列与哈马斯的第二阶段停火谈判陷入僵局，仍有约50名以色列人被扣押在加沙。

??以色列执迷地认为：只有枪炮才能换回人质。于是战火再起，以色列重启对加沙的军事行动，连夜空袭过后，数百名巴勒斯坦平民死于炮火。也门胡塞武装继续声援巴勒斯坦，再次向以色列连日发射导弹，后半夜的防空警报刺破夜色，媒体称几百万以色列人从梦中惊醒、冲向避弹间。

??3月19日，人们在位于耶路撒冷的以色列总理府附近参加集会。 当日，耶路撒冷爆发大规模民众集会游行，抗议以色列恢复对加沙地带的军事行动。

??这场冲突似乎看不到尽头。压抑、无力、绝望……我的一位以色列朋友写下重金属摇滚乐《我要睡个好觉》，以此宣泄愤怒与疲惫。

??这是3月17日在以色列埃拉特拍摄的埃拉特港区。

??采访结束，夜色已笼罩海湾。亚喀巴湾两侧的以色列和约旦城市灯火斑斓。此刻，阿拉伯人和犹太人用霓虹装点着对方眼中的璀璨。海湾里，游船时而响起阿拉伯歌曲，时而又奏响犹太歌曲的旋律。

??交错的灯影和“和鸣”之外，还有着另一番现实。以色列政府近日宣布了最新的修建东部隔离墙计划——一道全长约425公里的屏障，将沿着以叙、以约边境，从戈兰高地一路修建至埃拉特。

??埃拉特人罗特姆说：“我们和阿拉伯人真的有什么区别吗？我们的共同点远比分歧多。”他望向海湾，叹息道：“这片区域原本应是繁荣的、和平的、共存的。”

??我陷入思考，多年以后，如果我再次来到这座城市，不知她又会变成什么样子。

??记者：陈君清

【责任编辑:邱丽芳】"
3,利雅得会谈后，袭击未停止,"??新华社北京3月26日电　美国代表团日前在沙特阿拉伯首都利雅得分别与乌克兰、俄罗斯代表团进行会谈。俄总统新闻秘书佩斯科夫26日表示，俄方对同美国方面进行的建设性对话感到满意。他同时表示，乌军仍试图袭击俄方能源基础设施。乌克兰军方同日说，乌多地遭无人机袭击。

??这是3月18日在俄罗斯首都莫斯科拍摄的克里姆林宫外景。新华社记者白雪骐摄

??俄方：敦促乌方遵守相关约定

??佩斯科夫26日在例行记者会上说，俄方对同美方进行的务实、建设性和有效的对话感到满意。双方敲定了一份暂时免受攻击的俄罗斯和乌克兰能源基础设施清单，这是“向前迈出的一大步”。俄美将继续密切接触。

??佩斯科夫同时表示，俄军正在执行普京总统下达的有关暂停袭击乌方能源基础设施的命令，但乌军仍试图袭击俄方能源基础设施。他敦促乌方遵守相关约定。

??俄国防部26日说，尽管乌克兰总统泽连斯基表示接受在利雅得达成的关于停止袭击能源基础设施的提议，但乌军仍持续袭击俄方民用能源基础设施。

??根据克里姆林宫网站25日的通报，俄美在利雅得会谈的主要成果包括五项，其中之一是俄美为停止打击俄罗斯和乌克兰能源设施制定措施。

??乌军：俄向乌境内发射百余架无人机

??乌克兰空军26日在社交媒体“电报”发文说，当地时间25日晚8时至26日凌晨，俄军向乌境内发射了117架无人机，苏梅州、第聂伯罗彼得罗夫斯克州等多地遭袭击。

??乌空军说，俄军无人机分别从罗斯托夫州、库尔斯克州、克拉斯诺达尔边疆区和克里米亚发射。截至基辅当地时间26日9时，乌防空力量和电子战部队拦截了56架攻击型无人机。苏梅州、第聂伯罗彼得罗夫斯克州、基洛沃格勒州、切尔卡瑟州遭到无人机袭击。

??第聂伯罗彼得罗夫斯克州军事行政长官利萨克说，该州重要工业城市克里沃伊罗格、尼科波尔遭无人机袭击，袭击未造成人员伤亡。克里沃伊罗格市的一栋办公大楼、多个仓库、一家企业遭袭击，并引起多处火灾。尼科波尔市的一家企业、2栋公寓楼在袭击中受损。

??切尔卡瑟州军事行政长官伊戈尔·塔布列茨说，25日晚以来，俄军无人机对切尔卡瑟市发动大规模袭击，袭击未造成人员伤亡。该州一处基础设施遭袭击并起火，目前大火已被扑灭。此外，无人机碎片击中了一处仓库。

??苏梅州军事管理局说，该州南部城市阿赫特尔卡遭3架无人机袭击，该市部分公寓楼、商店和一处企业办公大楼受损，部分建筑起火。

??法国：利雅得会谈“方向正确”但仍“不够”

??法国总统府25日在谈及美国白宫当天公布的利雅得会谈成果时称，成果“方向正确”，但对实现俄乌停火而言仍“不够”。

??图为法国巴黎总统府爱丽舍宫。新华社记者高静摄

??法国总统府表示，会谈相关方就暂停打击能源设施及确保黑海航行安全达成一致，“是朝着正确方向迈出的步伐，但对于实现持久、稳固的停火还不够，更不必说和平协议”。

??另据法国总统府25日消息，乌克兰总统泽连斯基26日将访问法国并同法国总统马克龙会见，法国将借此访“重申持续并加强对乌军事和资金支持是（法国的）绝对优先事项”。

??乌克兰和平与安全峰会预定于27日在巴黎举行，泽连斯基将出席。法国总统府说，会议将由马克龙主持，主要讨论对乌援助及未来停火后对乌提供安全保障等议题。当地媒体援引外交人士的消息报道，超过20个国家受邀参会，主要是欧盟或北约成员国。（记者：安晓萌、李东旭、乔本孝）

【责任编辑:王雪】"
4,乌克兰：多地仓库办公楼遭无人机袭击,"　　新华社基辅3月26日电（记者李东旭）乌克兰空军26日在社交媒体“电报”发文说，当地时间25日晚8时至26日凌晨，俄军向乌境内发射了117架无人机，苏梅州、第聂伯罗彼得罗夫斯克州等多地遭袭击。

　　乌空军说，俄军无人机分别从罗斯托夫州、库尔斯克州、克拉斯诺达尔边疆区和克里米亚发射。截至基辅当地时间26日9时，乌防空力量和电子战部队拦截了56架攻击型无人机。苏梅州、第聂伯罗彼得罗夫斯克州、基洛沃格勒州、切尔卡瑟州遭到无人机袭击。

　　第聂伯罗彼得罗夫斯克州军事行政长官利萨克26日在社交媒体发文说，该州重要工业城市克里沃伊罗格、尼科波尔遭无人机袭击，所幸袭击未造成人员伤亡。克里沃伊罗格市的一栋办公大楼、多个仓库、一家企业遭袭击，并引起多处火灾。尼科波尔市的一家企业、2栋公寓楼在袭击中受损。

　　切尔卡瑟州军事行政长官伊戈尔·塔布列茨26日在社交媒体发文说，25日晚以来，俄军无人机对切尔卡瑟市发动大规模袭击，袭击未造成人员伤亡。该州一处基础设施遭袭击并起火，目前大火已被扑灭。此外，无人机碎片击中了一处仓库。

　　苏梅州军事管理局26日上午在社交媒体发文说，该州南部城市阿赫特尔卡遭3架无人机袭击，该市部分公寓楼、商店和一处企业办公大楼受损，部分建筑起火。

【责任编辑:谷玥】"
5,乌克兰：多地仓库办公楼遭无人机袭击,"　　新华社基辅3月26日电（记者李东旭）乌克兰空军26日在社交媒体“电报”发文说，当地时间25日晚8时至26日凌晨，俄军向乌境内发射了117架无人机，苏梅州、第聂伯罗彼得罗夫斯克州等多地遭袭击。

　　乌空军说，俄军无人机分别从罗斯托夫州、库尔斯克州、克拉斯诺达尔边疆区和克里米亚发射。截至基辅当地时间26日9时，乌防空力量和电子战部队拦截了56架攻击型无人机。苏梅州、第聂伯罗彼得罗夫斯克州、基洛沃格勒州、切尔卡瑟州遭到无人机袭击。

　　第聂伯罗彼得罗夫斯克州军事行政长官利萨克26日在社交媒体发文说，该州重要工业城市克里沃伊罗格、尼科波尔遭无人机袭击，所幸袭击未造成人员伤亡。克里沃伊罗格市的一栋办公大楼、多个仓库、一家企业遭袭击，并引起多处火灾。尼科波尔市的一家企业、2栋公寓楼在袭击中受损。

　　切尔卡瑟州军事行政长官伊戈尔·塔布列茨26日在社交媒体发文说，25日晚以来，俄军无人机对切尔卡瑟市发动大规模袭击，袭击未造成人员伤亡。该州一处基础设施遭袭击并起火，目前大火已被扑灭。此外，无人机碎片击中了一处仓库。

　　苏梅州军事管理局26日上午在社交媒体发文说，该州南部城市阿赫特尔卡遭3架无人机袭击，该市部分公寓楼、商店和一处企业办公大楼受损，部分建筑起火。

【责任编辑:谷玥】"
6,乌克兰：多地仓库办公楼遭无人机袭击,"　　新华社基辅3月26日电（记者李东旭）乌克兰空军26日在社交媒体“电报”发文说，当地时间25日晚8时至26日凌晨，俄军向乌境内发射了117架无人机，苏梅州、第聂伯罗彼得罗夫斯克州等多地遭袭击。

　　乌空军说，俄军无人机分别从罗斯托夫州、库尔斯克州、克拉斯诺达尔边疆区和克里米亚发射。截至基辅当地时间26日9时，乌防空力量和电子战部队拦截了56架攻击型无人机。苏梅州、第聂伯罗彼得罗夫斯克州、基洛沃格勒州、切尔卡瑟州遭到无人机袭击。

　　第聂伯罗彼得罗夫斯克州军事行政长官利萨克26日在社交媒体发文说，该州重要工业城市克里沃伊罗格、尼科波尔遭无人机袭击，所幸袭击未造成人员伤亡。克里沃伊罗格市的一栋办公大楼、多个仓库、一家企业遭袭击，并引起多处火灾。尼科波尔市的一家企业、2栋公寓楼在袭击中受损。

　　切尔卡瑟州军事行政长官伊戈尔·塔布列茨26日在社交媒体发文说，25日晚以来，俄军无人机对切尔卡瑟市发动大规模袭击，袭击未造成人员伤亡。该州一处基础设施遭袭击并起火，目前大火已被扑灭。此外，无人机碎片击中了一处仓库。

　　苏梅州军事管理局26日上午在社交媒体发文说，该州南部城市阿赫特尔卡遭3架无人机袭击，该市部分公寓楼、商店和一处企业办公大楼受损，部分建筑起火。

【责任编辑:谷玥】"
7,俄国防部：乌军再次袭击俄境内能源基础设施,"??新华社莫斯科3月24日电（记者 安晓萌）俄罗斯国防部24日通报，乌克兰武装部队当天再次袭击俄克拉斯诺达尔边疆区一处能源基础设施。

??俄国防部说，当天凌晨2时许，乌军再次使用无人机袭击位于克拉斯诺达尔边疆区隶属于里海管道集团公司的克鲁泡特金石油泵站。

??俄国防部说，与乌克兰总统泽连斯基的表态相反，乌方持续蓄意攻击俄境内能源基础设施，包括国际能源基础设施。

??俄总统新闻秘书佩斯科夫24日说，尽管乌方违背有关针对能源基础设施停火的承诺，俄总统普京并没有改变先前向军方下达的不袭击乌方能源基础设施的命令。

??按照俄国防部说法，这是克鲁泡特金石油泵站近期第二次遭袭。俄方早些时候指认乌军2月17日对该泵站实施无人机攻击并造成设施损坏。

【责任编辑:赵文涵】"
8,乌克兰首都遭无人机袭击?造成3人死亡8人受伤,　　新华社基辅3月23日电（记者李东旭）乌克兰内务部23日上午在社交媒体发文称，当天凌晨的无人机袭击造成基辅市3人死亡，另有8人受伤。　　乌内务部说，无人机碎片击中了基辅市第聂伯罗区、波多利斯基区、戈洛谢夫斯基区、杰斯尼扬斯基区和舍甫琴科夫斯基区的多座建筑物。　　基辅市军事管理局23日上午在社交媒体发文称，从22日晚至23日凌晨，基辅市空袭警报持续了5个多小时。波多利斯基区一处工业区遭无人机袭击，戈洛谢夫斯基区一处仓库被无人机击中并引发大火，另有包括居民楼在内的多个建筑被无人机碎片击中，多处起火，目前大火已扑灭。　　另据乌空军23日消息，22日晚至23日凌晨，俄军从罗斯托夫州、库尔斯克州、克拉斯诺达尔边疆区等多地向乌境内发射147架无人机，其中攻击型无人机122架。截至23日上午8时30分，乌防空火力拦截了97架攻击型无人机。 【纠错】    【责任编辑:王頔】 
9,乌克兰首都遭大规模无人机袭击,Play Video0:00/0:35??编导：徐中哲??新华社音视频部制作???? 【纠错】    【责任编辑:刘阳】 
10,乌克兰首都遭袭3人死亡,　　新华社基辅3月23日电（记者李东旭）乌克兰内务部23日上午在社交媒体发文称，当天凌晨的无人机袭击造成基辅市3人死亡，另有8人受伤。　　乌内务部说，无人机碎片击中了基辅市第聂伯罗区、波多利斯基区、戈洛谢夫斯基区、杰斯尼扬斯基区和舍甫琴科夫斯基区的多座建筑物。　　基辅市军事管理局23日上午在社交媒体发文称，从22日晚至23日凌晨，基辅市空袭警报持续了5个多小时。波多利斯基区一处工业区遭无人机袭击，戈洛谢夫斯基区一处仓库被无人机击中并引发大火，另有包括居民楼在内的多个建筑被无人机碎片击中，多处起火，目前大火已扑灭。　　另据乌空军23日消息，22日晚至23日凌晨，俄军从罗斯托夫州、库尔斯克州、克拉斯诺达尔边疆区等多地向乌境内发射147架无人机，其中攻击型无人机122架。截至23日上午8时30分，乌防空火力拦截了97架攻击型无人机。 【纠错】    【责任编辑:王頔】 
11,乌克兰首都基辅遭大规模无人机袭击,Play Video0:00/0:35??编导：徐中哲??新华社音视频部制作???? 【纠错】    【责任编辑:刘阳】 
12,新华社消息丨乌克兰首都基辅遭大规模无人机袭击,Play Video0:00/0:35??编导：徐中哲??新华社音视频部制作???? 【纠错】    【责任编辑:刘阳】 
13,新华社消息丨乌克兰首都基辅遭大规模无人机袭击,Play Video0:00/0:35??编导：徐中哲??新华社音视频部制作???? 【纠错】    【责任编辑:刘阳】 
14,乌克兰首都基辅遭大规模无人机袭击,"??新华社基辅3月23日电（记者李东旭）23日凌晨0时15分，乌克兰首都基辅市陆续传出爆炸声。新华社记者在基辅市第聂伯罗区看到，乌军防空火力对低空飞行的无人机实施了拦截。

??据记者观察，俄军无人机群在基辅市上空盘旋近一个小时。在第聂伯罗区，记者清晰听到多架无人机低空盘旋的轰鸣声，在探照灯协助下，乌军防空火力对无人机实施了跟踪拦截，多架无人机在空中爆炸。

??基辅市军事管理局随后发布消息说，杰斯尼扬斯基区、第聂伯罗区、波多利斯基区和舍甫琴科夫斯基区的多座建筑物和车辆被击中并引起火灾，救援人员已赶赴现场。

??截至发稿时，基辅市政府和基辅市军事管理局未公布此次无人机袭击的更多细节及造成伤亡情况。

??据乌军在社交媒体发布的消息，22日深夜至23日凌晨，俄军使用无人机对乌境内日托米尔州、文尼察州、哈尔科夫州、基辅州、赫梅利尼茨基州等多个州发动袭击。截至凌晨2时许，俄军无人机袭击仍在进行中。

【责任编辑:焦鹏】"
15,乌克兰首都基辅遭大规模无人机袭击,"??新华社基辅3月23日电（记者李东旭）23日凌晨0时15分，乌克兰首都基辅市陆续传出爆炸声。新华社记者在基辅市第聂伯罗区看到，乌军防空火力对低空飞行的无人机实施了拦截。

??据记者观察，俄军无人机群在基辅市上空盘旋近一个小时。在第聂伯罗区，记者清晰听到多架无人机低空盘旋的轰鸣声，在探照灯协助下，乌军防空火力对无人机实施了跟踪拦截，多架无人机在空中爆炸。

??基辅市军事管理局随后发布消息说，杰斯尼扬斯基区、第聂伯罗区、波多利斯基区和舍甫琴科夫斯基区的多座建筑物和车辆被击中并引起火灾，救援人员已赶赴现场。

??截至发稿时，基辅市政府和基辅市军事管理局未公布此次无人机袭击的更多细节及造成伤亡情况。

??据乌军在社交媒体发布的消息，22日深夜至23日凌晨，俄军使用无人机对乌境内日托米尔州、文尼察州、哈尔科夫州、基辅州、赫梅利尼茨基州等多个州发动袭击。截至凌晨2时许，俄军无人机袭击仍在进行中。

【责任编辑:焦鹏】"
16,乌克兰首都基辅遭大规模无人机袭击,"??新华社基辅3月23日电（记者李东旭）23日凌晨0时15分，乌克兰首都基辅市陆续传出爆炸声。新华社记者在基辅市第聂伯罗区看到，乌军防空火力对低空飞行的无人机实施了拦截。

??据记者观察，俄军无人机群在基辅市上空盘旋近一个小时。在第聂伯罗区，记者清晰听到多架无人机低空盘旋的轰鸣声，在探照灯协助下，乌军防空火力对无人机实施了跟踪拦截，多架无人机在空中爆炸。

??基辅市军事管理局随后发布消息说，杰斯尼扬斯基区、第聂伯罗区、波多利斯基区和舍甫琴科夫斯基区的多座建筑物和车辆被击中并引起火灾，救援人员已赶赴现场。

??截至发稿时，基辅市政府和基辅市军事管理局未公布此次无人机袭击的更多细节及造成伤亡情况。

??据乌军在社交媒体发布的消息，22日深夜至23日凌晨，俄军使用无人机对乌境内日托米尔州、文尼察州、哈尔科夫州、基辅州、赫梅利尼茨基州等多个州发动袭击。截至凌晨2时许，俄军无人机袭击仍在进行中。

【责任编辑:焦鹏】"
17,乌克兰称袭击了俄罗斯恩格斯军用机场,"　　新华社基辅／莫斯科3月20日电（记者李东旭　赵冰）乌克兰武装部队总参谋部20日说，乌国家安全局下属的乌特种部队在乌国防军有关机构配合下，于当天凌晨袭击了俄罗斯萨拉托夫州的恩格斯军用机场。

　　乌武装部队总参谋部在社交媒体上说，恩格斯机场遭袭后发生爆炸并起火，之后发生二次爆炸。

　　俄萨拉托夫州州长布萨尔金当天在社交媒体上说，该州萨拉托夫市和恩格斯市过去一夜遭遇最密集的一次无人机袭击。袭击导致恩格斯市一个机场附近发生火灾，附近居民正在疏散。布萨尔金说，袭击已造成10人受伤。

　　俄国防部20日发布通报称，过去一夜，俄军共击落132架无人机。

　　据悉，恩格斯军用机场部署了俄军图－95MS和图－160战略轰炸机队，俄空军战机利用该机场对乌克兰境内目标实施打击。

【责任编辑:艾莲】"
18,美乌总统就乌克兰停火谈判等问题通话,　　新华社华盛顿3月19日电 美国总统特朗普19日在社交媒体上发文说，他当天上午与乌克兰总统泽连斯基通话，大部分讨论内容都是基于美俄元首18日的通话情况，“以使俄罗斯和乌克兰在要求和需求方面保持一致”。　　特朗普说，通话持续约1小时，“进行得非常顺利”，美方将很快就通话要点发表声明。　　美国白宫18日说，特朗普当天与俄罗斯总统普京进行了通话，双方同意俄乌冲突需要以实现长久和平结束，停止冲突将从能源和基础设施停火开始，同时将就实施黑海海上停火、全面停火和永久和平进行技术谈判。　　泽连斯基18日表示，乌方对俄方的停火诚意感到怀疑，他需要了解美俄元首通话具体细节。他19日在与特朗普通话前，指责普京违背对特朗普的承诺，称俄一夜之间动用150架无人机袭击了包括能源设施在内的乌克兰目标。 【纠错】    【责任编辑:张欣然】 
19,俄国防部称已暂停袭击乌能源设施?泽连斯基反驳,"??新华社莫斯科/基辅3月19日电（记者赵冰　李东旭）俄罗斯国防部19日称，接到总统普京暂停对乌克兰能源基础设施袭击的命令后，俄军自行摧毁了在乌境内的7架无人机。乌克兰总统泽连斯基当天表示，“普京的话与现实不符”，当晚俄罗斯无人机仍对乌能源基础设施发动了攻击。

??俄国防部19日发布通报说，俄军接到普京暂时停止对乌能源基础设施袭击的命令时，尚有7架俄军无人机在乌克兰尼古拉耶夫州，攻击目标是乌军工综合体相关的能源基础设施。俄军随后奉命将这些无人机击落。

??俄国防部说，俄美元首通话之后的19日凌晨，乌军仍出动3架无人机袭击了俄南部克拉斯诺达尔边疆区一处能源基础设施。无人机坠落导致一个油罐起火。俄国防部认为，此次袭击是乌方对美国总统特朗普提出的和平倡议的“蓄意挑衅”。

??据乌克兰国际文传电讯社19日报道，正在芬兰访问的泽连斯基当天在赫尔辛基举行的记者会上说，普京在与特朗普通话后宣布停止袭击乌能源设施，但当晚俄无人机仍对乌方能源设施发动了攻击。

??泽连斯基说，“普京的话与现实不符”，俄军使用了近150架无人机攻击乌能源设施、交通设施、医疗机构，因此“需要对俄罗斯施压”。泽连斯基说，他对“俄方想要和平的诚意感到怀疑，乌方需要伙伴国家继续提供国防支持”。

??乌克兰空军19日在社交媒体发文称，当地时间18日晚7时至19日凌晨，俄军使用导弹和无人机对乌克兰发动攻击。乌空军称，俄军从布良斯克州、奥廖尔州、库尔斯克州、罗斯托夫州和克拉斯诺达尔边疆区等地向乌境内发射多枚导弹及145架无人机。截至当地时间19日8时，乌克兰苏梅州、敖德萨州、基辅州等6个州遭到袭击，乌军在哈尔科夫州、苏梅州、基辅州等12个州拦截了72架无人机。

【责任编辑:邱丽芳】"
