索引,新闻标题,内容
20,特朗普称伊朗要为胡塞武装今后袭击承担“可怕”后果,"??新华社华盛顿3月17日电　美国总统特朗普17日称，今后美国将把也门胡塞武装发起的袭击视同于伊朗发起的袭击，伊朗将承担“可怕”后果。

??当天，特朗普在社交媒体上发文，指责伊朗“指挥着胡塞武装的一举一动”并为其提供武器、资金和情报。

??他写道：“从现在起，胡塞武装的每一次射击都将被视为从伊朗的武器和领导层发射的，伊朗将为此承担责任并遭受后果，而这些后果将是可怕的。”

??美军参谋长联席会议行动负责人亚力克苏斯·格林克维奇17日在记者会上说，美军15日袭击了胡塞武装在也门的30个目标，16日和17日也实施了空袭行动，空袭还将继续。

??格林克维奇说，美军空袭目标包括胡塞武装的训练基地、指挥中心、武器制造和储存设施，以及无人机基础设施等。16日的空袭目标还包括也门数名高级无人机专家和胡塞武装用于威胁航运的设施。

??美国广播公司17日援引美军官员的话报道说，胡塞武装向红海上的美国“哈里·杜鲁门”号航母战斗群发出11架攻击型无人机和一枚弹道导弹。所有无人机均被美战机击落，弹道导弹因距离过远未进行拦截。

??也门胡塞武装发言人叶海亚·萨雷亚16日在该组织控制的马西拉电视台发表声明说，作为对美军空袭也门的回应，该组织16日使用18枚弹道导弹和巡航导弹及一架攻击无人机袭击了位于红海的美国“哈里·杜鲁门”号航母战斗群。

【责任编辑:焦鹏】"
21,乌多地遭俄无人机袭击,??新华社基辅3月17日电（记者李东旭）乌克兰空军17日在社交媒体发文说，16日晚至17日凌晨，俄军对乌发动大规模无人机袭击，乌7个州遭袭。??乌空军说，俄军向乌境内发射了174架攻击型无人机和“诱饵”无人机，敖德萨、波尔塔瓦、哈尔科夫等7个州遭到袭击。截至当地时间17日上午9时，乌防空火力共拦截90架无人机，另有70架未携带炸药的“诱饵”无人机在乌方雷达上消失。??基辅市军事管理局17日在社交媒体发文说，当天凌晨，俄军使用37架无人机对乌首都基辅发动袭击，截至上午8时，乌防空火力拦截了25架无人机，袭击未造成人员伤亡和财产损失。??敖德萨州军事行政长官基佩尔当天在社交媒体发布消息说，俄军无人机袭击造成当地1人受伤，一处仓库和部分建筑物受损。据波尔塔瓦州军事管理局当天消息，俄军无人机袭击导致克列缅丘格地区紧急停电。 【纠错】    【责任编辑:邱丽芳】 
22,乌克兰多地遭俄军无人机袭击,??新华社基辅3月17日电（记者李东旭）乌克兰空军17日在社交媒体发文说，16日晚至17日凌晨，俄军对乌发动大规模无人机袭击，乌7个州遭袭。??乌空军说，俄军向乌境内发射了174架攻击型无人机和“诱饵”无人机，敖德萨、波尔塔瓦、哈尔科夫等7个州遭到袭击。截至当地时间17日上午9时，乌防空火力共拦截90架无人机，另有70架未携带炸药的“诱饵”无人机在乌方雷达上消失。??基辅市军事管理局17日在社交媒体发文说，当天凌晨，俄军使用37架无人机对乌首都基辅发动袭击，截至上午8时，乌防空火力拦截了25架无人机，袭击未造成人员伤亡和财产损失。??敖德萨州军事行政长官基佩尔当天在社交媒体发布消息说，俄军无人机袭击造成当地1人受伤，一处仓库和部分建筑物受损。据波尔塔瓦州军事管理局当天消息，俄军无人机袭击导致克列缅丘格地区紧急停电。 【纠错】    【责任编辑:邱丽芳】 
23,乌克兰多地遭俄军无人机袭击,??新华社基辅3月17日电（记者李东旭）乌克兰空军17日在社交媒体发文说，16日晚至17日凌晨，俄军对乌发动大规模无人机袭击，乌7个州遭袭。??乌空军说，俄军向乌境内发射了174架攻击型无人机和“诱饵”无人机，敖德萨、波尔塔瓦、哈尔科夫等7个州遭到袭击。截至当地时间17日上午9时，乌防空火力共拦截90架无人机，另有70架未携带炸药的“诱饵”无人机在乌方雷达上消失。??基辅市军事管理局17日在社交媒体发文说，当天凌晨，俄军使用37架无人机对乌首都基辅发动袭击，截至上午8时，乌防空火力拦截了25架无人机，袭击未造成人员伤亡和财产损失。??敖德萨州军事行政长官基佩尔当天在社交媒体发布消息说，俄军无人机袭击造成当地1人受伤，一处仓库和部分建筑物受损。据波尔塔瓦州军事管理局当天消息，俄军无人机袭击导致克列缅丘格地区紧急停电。 【纠错】    【责任编辑:邱丽芳】 
24,也门胡塞武装称在红海袭击美国航母及随行舰只,"　　新华社科威特城3月16日电（记者尹炣）萨那消息：也门胡塞武装16日说，该组织当天在红海对美国“哈里·杜鲁门”号航空母舰及其随行舰只发动军事打击，以回应美军对胡塞武装目标的大规模空袭。

　　也门胡塞武装发言人叶海亚·萨雷亚当天在该组织控制的马西拉电视台发表声明说，美军自15日以来已对也门发动至少47次空袭，袭击了首都萨那及其他7个省份，造成多起平民伤亡事件。作为回应，该组织16日使用18枚弹道导弹和巡航导弹及一架攻击无人机袭击了位于红海的美国“哈里·杜鲁门”号航空母舰及其随行舰只。

　　他还警告说，该组织会“毫不犹豫地”针对红海和阿拉伯海的所有美国军舰发动袭击，并将继续在既定作战区域（红海、阿拉伯海、亚丁湾及曼德海峡）对以色列实施海上封锁，直到加沙地带获得人道主义援助。

　　美国15日对也门胡塞武装采取大规模军事行动。据胡塞武装卫生部门16日消息，美军空袭已造成至少31人死亡、101人受伤。胡塞武装表示将以“进一步升级”的行动予以回应。美国总统国家安全事务助理华尔兹16日在接受美国广播公司电视台采访时说，美军在15日空袭也门的过程中打死了多名胡塞武装领导人。

　　胡塞武装目前控制也门约三分之一领土和七八成人口，并占据萨那和红海重要港口城市荷台达。胡塞武装控制区还涵盖也门约三分之二的红海沿岸，其控制力辐射至在全球航运中具有重要战略地位的曼德海峡。

【责任编辑:艾莲】"
25,以军袭击加沙北部造成至少9人死亡,"　　新华社加沙3月15日电（记者黄泽民）据巴勒斯坦通讯社15日报道，以色列军队当天袭击加沙地带北部城镇拜特拉希亚，造成至少9名巴勒斯坦人死亡。

　　报道说，一架以军无人机袭击了一处人群并轰炸了一辆汽车，遇难者中包括两名记者，另有多人受伤。

　　巴勒斯坦伊斯兰抵抗运动（哈马斯）15日发表声明说，这次袭击是“一次危险的犯罪升级”，证明以方企图推翻加沙地带停火协议，蓄意破坏完成协议和交换被扣押人员的任何机会。声明说，自今年1月加沙地带停火协议达成以来，以军的行动已在加沙地带造成150多人死亡。

　　以色列国防军15日发表声明说，以军当天在拜特拉希亚地区打击了试图操作对以军构成威胁的无人机的武装分子及其车辆。

　　据巴勒斯坦加沙地带卫生部门15日发布的数据，2023年10月新一轮巴以冲突爆发以来，以色列在加沙地带的军事行动已造成近4.9万巴勒斯坦人死亡、近11.2万人受伤。

【责任编辑:徐海知】"
26,以军袭击加沙北部造成至少9人死亡,"　　新华社加沙3月15日电（记者黄泽民）据巴勒斯坦通讯社15日报道，以色列军队当天袭击加沙地带北部城镇拜特拉希亚，造成至少9名巴勒斯坦人死亡。

　　报道说，一架以军无人机袭击了一处人群并轰炸了一辆汽车，遇难者中包括两名记者，另有多人受伤。

　　巴勒斯坦伊斯兰抵抗运动（哈马斯）15日发表声明说，这次袭击是“一次危险的犯罪升级”，证明以方企图推翻加沙地带停火协议，蓄意破坏完成协议和交换被扣押人员的任何机会。声明说，自今年1月加沙地带停火协议达成以来，以军的行动已在加沙地带造成150多人死亡。

　　以色列国防军15日发表声明说，以军当天在拜特拉希亚地区打击了试图操作对以军构成威胁的无人机的武装分子及其车辆。

　　据巴勒斯坦加沙地带卫生部门15日发布的数据，2023年10月新一轮巴以冲突爆发以来，以色列在加沙地带的军事行动已造成近4.9万巴勒斯坦人死亡、近11.2万人受伤。

【责任编辑:冯粒】"
27,国际观察丨美乌会面?分歧难消,"??新华社沙特阿拉伯吉达3月12日电　题：美乌会面 分歧难消

??新华社记者马晓成　郭雅格

??美国和乌克兰代表团11日在沙特阿拉伯城市吉达举行会谈，双方宣布在实施临时停火、恢复情报共享和安全援助等议题上达成共识。欧洲多国领导人对会谈结果表示欢迎。但分析人士指出，美乌围绕矿产协议、安全保障等问题仍存分歧，美欧也因乌克兰问题裂痕加深，美国解决乌克兰危机的策略能否奏效同样存在不确定性。

??美乌再会谈

??11日，美国国务卿鲁比奥、美总统国家安全事务助理华尔兹、美中东问题特使威特科夫等与乌克兰总统办公室主任叶尔马克、乌外长瑟比加、乌国防部长乌梅罗夫等率领的乌方代表团在吉达举行会谈。

??这是2025年3月11日在沙特阿拉伯吉达拍摄的美国和乌克兰代表团会谈现场。新华社记者王东震摄

??经过约9小时会谈，双方发表联合声明。乌克兰表示愿意接受美国提出的立即实施为期30天临时停火的建议。美国方面将立即恢复与乌克兰的情报共享，并恢复对乌克兰的安全援助。双方同意各自组成谈判团队并立即开始谈判，以实现乌克兰持久和平，保障乌长期安全。声明还表示，美乌两国总统同意尽快达成一项开发乌克兰关键矿产资源的全面协议。

??此次会谈是2月28日美国总统特朗普与乌克兰总统泽连斯基在白宫发生激烈争执后，美乌举行的首次官方会谈。会谈结束后，泽连斯基在社交媒体上发文说，乌美吉达会谈效果“良好且富有建设性”。

??鲁比奥在会谈后表示，美乌已经迈出“积极的一步”，希望俄罗斯能作出回应。特朗普当天也向媒体表示，希望俄罗斯也能接受30天停火提议，他要就此事与俄罗斯总统普京“谈谈”。

??俄罗斯外交部发言人扎哈罗娃11日对媒体表示，俄方不排除在未来几天与美国代表进行接触。

??欧洲想发挥作用

??对于美乌在吉达的会谈结果，欧洲多国表示欢迎。但美国新一届政府对乌克兰、欧洲立场的转变，已让跨大西洋关系暗流汹涌。

??欧盟委员会主席冯德莱恩对吉达传来的消息表示欢迎，强调欧盟将在和平谈判中充分发挥作用。法国总统马克龙表示，“法国及其合作伙伴仍然致力于实现稳固持久的和平，并为乌克兰提供强有力的安全保障”。英国首相斯塔默表示，希望尽快实现持久和平，并称将召集多国领导人讨论下一步行动。

??2024年11月27日，在法国斯特拉斯堡的欧洲议会总部，连任欧盟委员会主席的冯德莱恩出席新闻发布会。新华社记者赵丁喆摄

??与此同时，欧洲正在加紧谋求在乌克兰问题上的话语权。11日，包括欧盟或北约成员国在内的30多个国家的军队参谋长在法国巴黎举行闭门会议，讨论如果俄乌停火，如何向乌克兰提供安全保障。美联社援引法国军方人士的话说，美国没有收到参会邀请，欧洲想借此表明，未来俄乌停火后，欧洲有能力在相当程度上保证乌克兰安全。

??保加利亚索非亚大学教授纳科·斯特凡诺夫指出，美国从自身利益出发转变对乌立场，欧洲则谋求在乌克兰问题中占有“领导”地位，美欧分歧明显。斯洛文尼亚内幕新闻网主编伊戈尔·梅基纳表示，欧洲主张建立全面的安全框架，而美国推动实现的是临时停火而非全面和平，这忽视了对欧洲安全的影响，或将进一步加深美欧裂痕。

??各方诉求不易调和

??在美乌达成一定共识的同时，俄乌战场硝烟继续弥漫。刚刚过去的周末，俄军从多个方向在库尔斯克州发起大规模进攻。吉达会谈开始前，俄国防部称，俄防空部队击落337架乌克兰无人机。据塔斯社报道，这是今年以来俄罗斯遭遇的最大规模无人机袭击。

??分析人士认为，俄乌战场硝烟难平，加之美乌俄欧四方诉求难以调和，乌克兰危机如何且何时解决仍存在不确定性。

??这是2025年3月11日在俄罗斯莫斯科州南部萨普罗诺沃拍摄的受损住宅楼。新华社记者白雪骐摄

??有媒体分析说，乌克兰同意美方提出的临时停火是“屈服于美国压力”。对此，乌克兰分析与战略中心主任伊戈尔·恰连科指出，乌方在对美方意愿做出回应的同时，又要清晰划出国家利益“红线”，给未来谈判增加了难度。乌克兰政治学家弗拉基米尔·费先科说，接下来，乌方需要在满足美方要求和维护国家利益间寻找平衡。

??美国《纽约时报》刊文指出，美乌联合声明未包含实施停火的具体方案，也未提及在临时停火生效前为乌克兰提供任何安全保障。克罗地亚政治分析家马克·齐戈伊表示，未来由谁负责监督和确保停火协议付诸实施仍是问题，这给俄乌和平前景再添不确定性。

??最近，包括美国副总统万斯等多名美国官员提出，如果俄罗斯“抵制达成协议”，就有可能扩大对俄制裁范围，甚至可能动用“军事施压手段”。有分析说，美国可能还会要求莫斯科做出其他让步。

??美国新线研究所高级主管尤金·乔索夫斯基在美国世界政治评论网站撰文说，美国新一届政府解决乌克兰危机的策略以及处理美国与乌克兰和整个欧洲关系的方式都带有交易特点。乌克兰、俄罗斯和欧洲对美国这种策略的反应，将是塑造乌克兰乃至整个跨大西洋未来安全格局的关键。

【责任编辑:成岚】"
28,俄遭遇今年来最大规模无人机袭击,Play Video0:00/0:35??新华社莫斯科3月11日电（记者包诺敏）俄罗斯国防部11日在其社交媒体官方频道发布消息说，俄防空部队一夜之间击落337架乌克兰无人机。据塔斯社报道，这是今年以来俄罗斯遭遇的最大规模无人机袭击。??俄国防部说，在莫斯科州上空有91架无人机被摧毁。??这是3月11日在俄罗斯莫斯科州东南部拍摄的受损住宅楼。新华社记者 白雪骐 摄??莫斯科州州长沃罗比约夫11日说，无人机袭击造成该州2人死亡、多人受伤，一停车场发生火灾，20多辆汽车被烧毁。??莫斯科市市长索比亚宁说，有73架飞向莫斯科的无人机被击落。??俄罗斯外交部发言人扎哈罗娃当天在社交媒体说，这已不是乌克兰第一次在外国高级代表团访问莫斯科当天发动无人机袭击了，这次到访的是欧洲安全与合作组织秘书长。 【纠错】    【责任编辑:邱丽芳】 
29,俄罗斯遭遇今年以来最大规模的无人机袭击,Play Video0:00/0:35??新华社莫斯科3月11日电（记者包诺敏）俄罗斯国防部11日在其社交媒体官方频道发布消息说，俄防空部队一夜之间击落337架乌克兰无人机。据塔斯社报道，这是今年以来俄罗斯遭遇的最大规模无人机袭击。??俄国防部说，在莫斯科州上空有91架无人机被摧毁。??这是3月11日在俄罗斯莫斯科州东南部拍摄的受损住宅楼。新华社记者 白雪骐 摄??莫斯科州州长沃罗比约夫11日说，无人机袭击造成该州2人死亡、多人受伤，一停车场发生火灾，20多辆汽车被烧毁。??莫斯科市市长索比亚宁说，有73架飞向莫斯科的无人机被击落。??俄罗斯外交部发言人扎哈罗娃当天在社交媒体说，这已不是乌克兰第一次在外国高级代表团访问莫斯科当天发动无人机袭击了，这次到访的是欧洲安全与合作组织秘书长。 【纠错】    【责任编辑:邱丽芳】 
30,俄罗斯遭遇今年以来最大规模的无人机袭击,Play Video0:00/0:35??新华社莫斯科3月11日电（记者包诺敏）俄罗斯国防部11日在其社交媒体官方频道发布消息说，俄防空部队一夜之间击落337架乌克兰无人机。据塔斯社报道，这是今年以来俄罗斯遭遇的最大规模无人机袭击。??俄国防部说，在莫斯科州上空有91架无人机被摧毁。??这是3月11日在俄罗斯莫斯科州东南部拍摄的受损住宅楼。新华社记者 白雪骐 摄??莫斯科州州长沃罗比约夫11日说，无人机袭击造成该州2人死亡、多人受伤，一停车场发生火灾，20多辆汽车被烧毁。??莫斯科市市长索比亚宁说，有73架飞向莫斯科的无人机被击落。??俄罗斯外交部发言人扎哈罗娃当天在社交媒体说，这已不是乌克兰第一次在外国高级代表团访问莫斯科当天发动无人机袭击了，这次到访的是欧洲安全与合作组织秘书长。 【纠错】    【责任编辑:邱丽芳】 
31,俄罗斯遭遇今年以来最大规模的无人机袭击,Play Video0:00/0:35??新华社莫斯科3月11日电（记者包诺敏）俄罗斯国防部11日在其社交媒体官方频道发布消息说，俄防空部队一夜之间击落337架乌克兰无人机。据塔斯社报道，这是今年以来俄罗斯遭遇的最大规模无人机袭击。??俄国防部说，在莫斯科州上空有91架无人机被摧毁。??这是3月11日在俄罗斯莫斯科州东南部拍摄的受损住宅楼。新华社记者 白雪骐 摄??莫斯科州州长沃罗比约夫11日说，无人机袭击造成该州2人死亡、多人受伤，一停车场发生火灾，20多辆汽车被烧毁。??莫斯科市市长索比亚宁说，有73架飞向莫斯科的无人机被击落。??俄罗斯外交部发言人扎哈罗娃当天在社交媒体说，这已不是乌克兰第一次在外国高级代表团访问莫斯科当天发动无人机袭击了，这次到访的是欧洲安全与合作组织秘书长。 【纠错】    【责任编辑:邱丽芳】 
32,俄罗斯遭遇今年以来最大规模的无人机袭击,Play Video0:00/0:35??新华社莫斯科3月11日电（记者包诺敏）俄罗斯国防部11日在其社交媒体官方频道发布消息说，俄防空部队一夜之间击落337架乌克兰无人机。据塔斯社报道，这是今年以来俄罗斯遭遇的最大规模无人机袭击。??俄国防部说，在莫斯科州上空有91架无人机被摧毁。??这是3月11日在俄罗斯莫斯科州东南部拍摄的受损住宅楼。新华社记者 白雪骐 摄??莫斯科州州长沃罗比约夫11日说，无人机袭击造成该州2人死亡、多人受伤，一停车场发生火灾，20多辆汽车被烧毁。??莫斯科市市长索比亚宁说，有73架飞向莫斯科的无人机被击落。??俄罗斯外交部发言人扎哈罗娃当天在社交媒体说，这已不是乌克兰第一次在外国高级代表团访问莫斯科当天发动无人机袭击了，这次到访的是欧洲安全与合作组织秘书长。 【纠错】    【责任编辑:邱丽芳】 
33,俄莫斯科州遭大规模无人机袭击致1死多伤,"??新华社莫斯科3月11日电 俄罗斯莫斯科州州长沃罗比约夫11日在社交媒体上发文说，当天凌晨4时开始莫斯科州遭大规模无人机袭击，已造成1人死亡、3人受伤。

??沃罗比约夫说，有被击落的无人机残骸坠落到莫斯科州拉缅斯科耶区一栋高层居民楼上，导致至少7套公寓受损，包括3名儿童在内的12名居民从受损住宅紧急疏散。

??另据俄罗斯紧急情况部公布的消息，此次袭击导致莫斯科州1人死亡、5人受伤。

??俄罗斯国防部通报说已在莫斯科州上空击落91架无人机。

??俄联邦航空运输局11日清晨宣布，为确保民用航班安全，莫斯科多莫杰多沃机场、茹科夫斯基机场、谢列梅捷沃机场和伏努科沃机场实施临时航空管制。当地时间8时55分，谢列梅捷沃机场宣布解除管制。

【责任编辑:张樵苏】"
34,俄莫斯科州遭大规模无人机袭击致1死多伤,"??新华社莫斯科3月11日电 俄罗斯莫斯科州州长沃罗比约夫11日在社交媒体上发文说，当天凌晨4时开始莫斯科州遭大规模无人机袭击，已造成1人死亡、3人受伤。

??沃罗比约夫说，有被击落的无人机残骸坠落到莫斯科州拉缅斯科耶区一栋高层居民楼上，导致至少7套公寓受损，包括3名儿童在内的12名居民从受损住宅紧急疏散。

??另据俄罗斯紧急情况部公布的消息，此次袭击导致莫斯科州1人死亡、5人受伤。

??俄罗斯国防部通报说已在莫斯科州上空击落91架无人机。

??俄联邦航空运输局11日清晨宣布，为确保民用航班安全，莫斯科多莫杰多沃机场、茹科夫斯基机场、谢列梅捷沃机场和伏努科沃机场实施临时航空管制。当地时间8时55分，谢列梅捷沃机场宣布解除管制。

【责任编辑:张樵苏】"
35,俄莫斯科州遭大规模无人机袭击致1死多伤,"??新华社莫斯科3月11日电 俄罗斯莫斯科州州长沃罗比约夫11日在社交媒体上发文说，当天凌晨4时开始莫斯科州遭大规模无人机袭击，已造成1人死亡、3人受伤。

??沃罗比约夫说，有被击落的无人机残骸坠落到莫斯科州拉缅斯科耶区一栋高层居民楼上，导致至少7套公寓受损，包括3名儿童在内的12名居民从受损住宅紧急疏散。

??另据俄罗斯紧急情况部公布的消息，此次袭击导致莫斯科州1人死亡、5人受伤。

??俄罗斯国防部通报说已在莫斯科州上空击落91架无人机。

??俄联邦航空运输局11日清晨宣布，为确保民用航班安全，莫斯科多莫杰多沃机场、茹科夫斯基机场、谢列梅捷沃机场和伏努科沃机场实施临时航空管制。当地时间8时55分，谢列梅捷沃机场宣布解除管制。

【责任编辑:张樵苏】"
36,莫斯科遭大规模无人机袭击,　　新华社莫斯科3月11日电　俄罗斯莫斯科市市长索比亚宁11日在社交媒体上发文说，莫斯科11日清晨遭大规模无人机袭击，截至当地时间6时，俄罗斯防空系统击落了58架向莫斯科袭来的乌克兰无人机。　　俄联邦航空运输局宣布，为确保民用航班安全，莫斯科多莫杰多沃机场和茹科夫斯基机场实施临时航空管制。 【纠错】    【责任编辑:谷玥】 
37,莫斯科遭大规模无人机袭击,　　新华社莫斯科3月11日电　俄罗斯莫斯科市市长索比亚宁11日在社交媒体上发文说，莫斯科11日清晨遭大规模无人机袭击，截至当地时间6时，俄罗斯防空系统击落了58架向莫斯科袭来的乌克兰无人机。　　俄联邦航空运输局宣布，为确保民用航班安全，莫斯科多莫杰多沃机场和茹科夫斯基机场实施临时航空管制。 【纠错】    【责任编辑:谷玥】 
38,乌克兰电力和天然气基础设施遭大规模空袭,??新华社基辅3月7日电（记者李东旭）乌克兰能源部长加卢先科7日早在社交媒体发文称，乌克兰多个州的电力和天然气基础设施遭大规模俄罗斯导弹和无人机袭击。??加卢先科说，救援人员和电力工程师正在努力消除空袭影响，乌方已采取一切必要措施来稳定电力和天然气供应。??乌克兰石油天然气公司7日上午在社交媒体发文称，该公司天然气基础设施当天遭空袭，天然气开采能力受损，但没有人员伤亡。乌西部捷尔诺波尔州军事管理局局长维亚切斯拉夫·涅霍达证实，该州一处关键工业设施7日凌晨遭导弹袭击，导致该州天然气供应受限。??乌空军7日凌晨3时许在社交媒体发文称，俄军从黑海向乌境内发射了“口径”巡航导弹，在哈尔科夫州、苏梅州、切尔尼戈夫州、基辅州、波尔塔瓦州等多地上空发现俄军攻击型无人机。 【纠错】    【责任编辑:王雪】 
39,俄国防部：乌克兰无人机袭击俄天然气压缩站设施,??新华社莫斯科3月1日电（记者赵冰）俄罗斯国防部3月1日在社交媒体发布通报称，乌克兰2月28日夜间使用无人机袭击了俄境内向“土耳其溪”天然气管道供气的压缩站设施。??俄国防部称，为阻止俄向欧洲国家供应天然气，乌克兰再次使用3架固定翼无人机袭击了俄南部克拉斯诺达尔边疆区的一处天然气压缩站设施，该压缩站向“土耳其溪”天然气管道供气。俄防空部队在压缩站的安全距离外击落了乌方无人机。??据俄国防部的通报，1月11日，9架乌克兰无人机曾试图袭击克拉斯诺达尔边疆区的天然气压缩站设施；2月17日，该边疆区的克鲁泡特金石油泵站也曾遭到7架乌克兰无人机袭击。??随着俄乌双方签署的有关协议过期，由俄罗斯过境乌克兰输往欧洲的天然气供应已于2025年1月1日终止。2022年俄乌冲突升级后，俄罗斯向欧洲供应天然气的多条线路中断，过境土耳其的“土耳其溪”管道是目前少有的俄对欧供气的线路之一。 【纠错】    【责任编辑:吴京泽】 
40,俄国防部：乌克兰无人机袭击俄境内天然气压缩站设施,??新华社莫斯科3月1日电（记者赵冰）俄罗斯国防部3月1日在社交媒体发布通报称，乌克兰2月28日夜间使用无人机袭击了俄境内向“土耳其溪”天然气管道供气的压缩站设施。??俄国防部称，为阻止俄向欧洲国家供应天然气，乌克兰再次使用3架固定翼无人机袭击了俄南部克拉斯诺达尔边疆区的一处天然气压缩站设施，该压缩站向“土耳其溪”天然气管道供气。俄防空部队在压缩站的安全距离外击落了乌方无人机。??据俄国防部的通报，1月11日，9架乌克兰无人机曾试图袭击克拉斯诺达尔边疆区的天然气压缩站设施；2月17日，该边疆区的克鲁泡特金石油泵站也曾遭到7架乌克兰无人机袭击。??随着俄乌双方签署的有关协议过期，由俄罗斯过境乌克兰输往欧洲的天然气供应已于2025年1月1日终止。2022年俄乌冲突升级后，俄罗斯向欧洲供应天然气的多条线路中断，过境土耳其的“土耳其溪”管道是目前少有的俄对欧供气的线路之一。 【纠错】    【责任编辑:吴京泽】 
